date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),Tlog (degC),OT
2020/5/1 16:30,975.97,11.44,286.59,5.72,67.83,13.53,9.18,4.35,5.87,9.41,1190.37,6.64,10.77,215.9,21.92,415
2020/5/1 16:40,975.79,11.08,286.24,5.14,66.7,13.21,8.81,4.4,5.64,9.03,1191.83,6.91,9.17,215.8,21.79,415.5
2020/5/1 16:50,975.86,11.13,286.28,5.23,66.92,13.26,8.87,4.39,5.67,9.09,1191.68,6.02,8.75,213.1,21.64,415.1
2020/5/1 17:00,975.86,11.01,286.16,5.37,68.1,13.15,8.96,4.2,5.73,9.18,1192.14,5.47,7.29,213,21.52,414.6
2020/5/1 17:10,975.87,11.07,286.22,5.44,68.16,13.2,9,4.2,5.76,9.22,1191.88,4.71,6.29,207.4,21.42,414.5
2020/5/1 17:20,975.81,11.34,286.5,5.51,67.29,13.44,9.05,4.4,5.79,9.27,1190.66,4.13,6.33,208.1,21.37,414.5
2020/5/1 17:30,975.84,11.57,286.73,5.35,65.51,13.65,8.94,4.71,5.72,9.16,1189.78,5.45,7.97,214.6,21.36,414.2
2020/5/1 17:40,975.82,11.84,287,4.88,62.31,13.9,8.66,5.24,5.54,8.87,1188.76,6.36,8.65,211.5,21.43,414.3
2020/5/1 17:50,975.85,11.65,286.81,4.73,62.43,13.72,8.57,5.16,5.48,8.78,1189.63,4.97,7.01,212.9,21.55,414.4
2020/5/1 18:00,975.87,11.5,286.66,4.68,62.81,13.59,8.53,5.05,5.46,8.75,1190.3,5.62,7.75,215.5,21.66,414.5
2020/5/1 18:10,975.91,11.67,286.82,4.73,62.32,13.74,8.56,5.18,5.48,8.77,1189.63,4.96,7.89,210.6,21.71,414.6
2020/5/1 18:20,975.88,11.56,286.72,4.73,62.78,13.64,8.56,5.08,5.48,8.78,1190.05,5.13,7.17,207.4,21.73,414.6
2020/5/1 18:30,975.92,11.11,286.26,4.63,64.24,13.24,8.51,4.73,5.44,8.72,1192.01,5.41,7.61,212.7,21.7,414.6
2020/5/1 18:40,976,10.86,286,4.72,65.73,13.02,8.56,4.46,5.47,8.77,1193.13,4.17,6.21,212.3,21.56,415
2020/5/1 18:50,976.06,10.71,285.84,4.74,66.51,12.89,8.57,4.32,5.48,8.78,1193.83,4.77,8.29,217.5,21.34,415.1
2020/5/1 19:00,976.16,10.54,285.66,4.77,67.4,12.75,8.59,4.16,5.49,8.8,1194.66,4.08,7.23,217.4,21.1,415.2
2020/5/1 19:10,976.24,10.35,285.47,4.82,68.47,12.59,8.62,3.97,5.51,8.83,1195.54,3.54,5.77,217.4,20.86,415.5
2020/5/1 19:20,976.3,10.23,285.34,4.8,68.93,12.48,8.61,3.88,5.5,8.81,1196.13,4.25,6.65,213.2,20.63,416
2020/5/1 19:30,976.37,10.05,285.15,4.79,69.73,12.34,8.6,3.73,5.5,8.81,1196.98,3.65,5.49,211.9,20.42,416.4
2020/5/1 19:40,976.53,9.84,284.93,4.79,70.7,12.16,8.6,3.56,5.5,8.81,1198.06,2.65,4.77,213.2,20.23,416.8
2020/5/1 19:50,976.7,9.54,284.61,4.76,72,11.92,8.58,3.34,5.48,8.79,1199.55,3.05,4.37,216.3,20.05,417.2
2020/5/1 20:00,976.79,9.27,284.33,4.77,73.4,11.7,8.59,3.11,5.49,8.8,1200.81,2.28,3.44,211.5,19.89,418.8
2020/5/1 20:10,976.84,9.08,284.14,4.76,74.3,11.56,8.59,2.97,5.49,8.79,1201.68,2.37,3.44,208.1,19.74,419.6
2020/5/1 20:20,976.96,8.89,283.94,4.73,75.1,11.41,8.57,2.84,5.47,8.77,1202.65,2.76,3.28,208.7,19.6,419.8
2020/5/1 20:30,977.05,8.79,283.83,4.67,75.3,11.33,8.53,2.8,5.45,8.73,1203.2,2.33,3.28,222,19.47,419.4
2020/5/1 20:40,977.07,8.65,283.69,4.69,76.1,11.22,8.54,2.68,5.46,8.74,1203.82,2.49,3.04,229,19.33,419.5
2020/5/1 20:50,977.05,8.25,283.28,4.62,77.8,10.92,8.5,2.42,5.43,8.7,1205.52,2.86,3.57,223.2,19.17,422
2020/5/1 21:00,976.96,8.24,283.28,4.68,78.2,10.92,8.54,2.38,5.45,8.74,1205.44,3.56,4.57,224.5,19,420.9
2020/5/1 21:10,977.02,8.09,283.13,4.61,78.6,10.8,8.49,2.31,5.42,8.69,1206.18,3.38,4.77,222.4,18.81,423.4
2020/5/1 21:20,977.07,8.05,283.08,4.66,79.1,10.77,8.52,2.25,5.44,8.72,1206.39,2.88,3.97,219.9,18.61,422.9
2020/5/1 21:30,977.05,7.94,282.97,4.7,79.9,10.69,8.54,2.15,5.46,8.75,1206.83,3.58,5.13,213.4,18.42,423.3
2020/5/1 21:40,977.1,8.14,283.17,4.84,79.6,10.84,8.63,2.21,5.51,8.83,1206,3.34,4.57,216.6,18.24,421.2
2020/5/1 21:50,977.27,8.34,283.36,4.9,78.9,10.99,8.67,2.32,5.54,8.87,1205.33,1.97,2.92,215.2,18.07,420.7
2020/5/1 22:00,977.32,8.41,283.42,4.95,78.8,11.04,8.7,2.34,5.56,8.9,1205.08,2.77,4.53,227.1,17.94,420.2
2020/5/1 22:10,977.31,8.99,284.01,5.13,76.7,11.49,8.81,2.68,5.63,9.01,1202.54,3.6,5.37,238.3,17.85,418.1
2020/5/1 22:20,977.38,9.1,284.11,5.11,76,11.57,8.79,2.78,5.62,9,1202.16,1.96,3.57,224.4,17.76,419.1
2020/5/1 22:30,977.46,8.76,283.76,5.04,77.4,11.31,8.75,2.56,5.59,8.95,1203.73,1.67,2.56,195.3,17.71,420.2
2020/5/1 22:40,977.49,8.55,283.55,4.98,78.2,11.15,8.72,2.43,5.57,8.92,1204.68,1.11,1.68,175.8,17.7,422.8
2020/5/1 22:50,977.54,8.42,283.42,5,79,11.05,8.73,2.32,5.57,8.93,1205.29,1.33,2.2,176.3,17.71,423.2
2020/5/1 23:00,977.45,8.38,283.38,4.98,79.1,11.02,8.72,2.3,5.57,8.92,1205.36,1.62,2.4,173,17.75,424.9
2020/5/1 23:10,977.51,8.24,283.24,4.95,79.7,10.92,8.7,2.22,5.55,8.9,1206.04,1.29,1.8,197.2,17.79,423.6
2020/5/1 23:20,977.62,8.31,283.3,4.93,79.2,10.97,8.69,2.28,5.55,8.89,1205.88,1.12,1.48,192.2,17.85,424
2020/5/1 23:30,977.68,8.31,283.29,4.89,79,10.97,8.66,2.3,5.53,8.86,1205.97,1.76,2.16,185.2,17.92,424.6
2020/5/1 23:40,977.68,8.24,283.22,4.83,79,10.92,8.62,2.29,5.5,8.82,1206.29,2.06,2.72,207,17.99,422.3
2020/5/1 23:50,977.64,8.06,283.04,4.78,79.7,10.78,8.59,2.19,5.49,8.79,1207.03,1.97,2.64,202.1,18.04,422.9
2020/5/2 0:00,977.65,7.91,282.89,4.74,80.3,10.67,8.57,2.1,5.47,8.77,1207.69,1.76,2.4,199.5,18.05,423.3
2020/5/2 0:10,977.69,8.08,283.06,4.78,79.6,10.8,8.59,2.2,5.49,8.79,1207,1.77,2.56,216.2,18.04,422.8
2020/5/2 0:20,977.71,8.1,283.08,4.78,79.5,10.81,8.6,2.22,5.49,8.79,1206.94,1.7,2.36,215.9,18.01,422.3
2020/5/2 0:30,977.78,8.13,283.1,4.83,79.6,10.83,8.62,2.21,5.5,8.82,1206.88,1.39,1.84,211.3,18,421
2020/5/2 0:40,977.76,8.14,283.12,4.84,79.6,10.84,8.63,2.21,5.51,8.83,1206.81,1.55,2.56,207.7,18,422
2020/5/2 0:50,977.69,7.91,282.89,4.77,80.5,10.67,8.59,2.08,5.48,8.79,1207.73,1.52,2.02,208.4,18.02,423
2020/5/2 1:00,977.67,7.76,282.74,4.68,80.8,10.56,8.54,2.03,5.45,8.73,1208.38,1.45,2.04,205.9,18.03,423.9
2020/5/2 1:10,977.61,7.71,282.69,4.53,80.2,10.53,8.44,2.08,5.39,8.64,1208.56,1.97,2.84,205.4,18.05,425.1
2020/5/2 1:20,977.64,7.62,282.6,4.49,80.5,10.46,8.42,2.04,5.38,8.62,1209,2.3,3.26,218.9,18.03,424.2
2020/5/2 1:30,977.7,7.7,282.68,4.37,79.4,10.52,8.35,2.17,5.33,8.54,1208.76,1.88,2.48,217.7,18,423.7
2020/5/2 1:40,977.71,7.51,282.49,4.29,80,10.38,8.31,2.08,5.3,8.5,1209.61,1.25,2,220,17.94,424.8
2020/5/2 1:50,977.71,7.5,282.48,4.25,79.8,10.38,8.28,2.1,5.29,8.47,1209.67,1.3,1.84,217,17.87,423.7
2020/5/2 2:00,977.71,7.53,282.51,4.15,79.1,10.4,8.23,2.17,5.25,8.41,1209.56,1.53,2.52,207.7,17.8,423.6
2020/5/2 2:10,977.88,7.28,282.24,4.02,79.7,10.22,8.15,2.08,5.2,8.33,1210.89,1.76,2.64,218.5,17.73,425.3
2020/5/2 2:20,977.95,6.97,281.92,3.85,80.5,10,8.05,1.95,5.14,8.24,1212.37,1.49,2.32,222.1,17.65,426.3
2020/5/2 2:30,977.96,6.64,281.59,3.79,82,9.78,8.02,1.76,5.12,8.2,1213.83,1.66,2.44,233.4,17.57,426.6
2020/5/2 2:40,978.01,6.77,281.71,3.87,81.7,9.87,8.06,1.81,5.14,8.24,1213.32,1.99,2.8,215.1,17.48,425.1
2020/5/2 2:50,978.07,6.81,281.75,3.88,81.5,9.9,8.07,1.83,5.15,8.25,1213.2,2.23,3.16,206.9,17.38,425.5
2020/5/2 3:00,978.1,6.75,281.69,3.9,82,9.85,8.08,1.77,5.15,8.26,1213.5,2.15,3.16,208.7,17.28,425.3
2020/5/2 3:10,978.08,6.68,281.62,3.91,82.4,9.81,8.08,1.73,5.16,8.26,1213.76,2.07,3.26,214.4,17.19,425.3
2020/5/2 3:20,978.03,6.63,281.57,3.94,82.9,9.77,8.1,1.67,5.17,8.28,1213.92,2.95,3.97,215.1,17.1,426.5
2020/5/2 3:30,978.05,6.54,281.48,4,83.8,9.71,8.14,1.57,5.19,8.32,1214.33,2.69,3.73,214.4,17.01,427.1
2020/5/2 3:40,978.07,6.68,281.62,4.12,83.7,9.81,8.21,1.6,5.24,8.39,1213.72,2.43,3.28,226.6,16.92,424.9
2020/5/2 3:50,978.13,6.72,281.66,4.13,83.5,9.84,8.21,1.62,5.24,8.4,1213.59,3.08,3.73,225,16.83,424.8
2020/5/2 4:00,978.24,6.67,281.6,4.17,84,9.8,8.23,1.57,5.25,8.42,1213.94,2.66,3.36,233.7,16.75,424.9
2020/5/2 4:10,978.31,6.7,281.62,4.17,83.8,9.82,8.23,1.59,5.25,8.42,1213.88,3.09,3.65,230.6,16.65,424.4
2020/5/2 4:20,978.32,6.61,281.53,4.16,84.3,9.76,8.23,1.53,5.25,8.41,1214.32,2.13,3.73,237.5,16.56,424.9
2020/5/2 4:30,978.41,6.71,281.62,4.21,84,9.83,8.26,1.57,5.27,8.44,1213.97,1.28,1.84,235.1,16.46,425.2
2020/5/2 4:40,978.5,6.64,281.55,4.13,83.9,9.78,8.21,1.58,5.23,8.39,1214.39,2.25,3.57,226.4,16.41,426.9
2020/5/2 4:50,978.63,6.43,281.33,4.14,85.2,9.64,8.22,1.43,5.24,8.4,1215.46,1.42,3.12,211.6,16.4,428.7
2020/5/2 5:00,978.69,6.76,281.65,4.39,84.8,9.86,8.37,1.5,5.33,8.55,1214.04,0.43,1.28,227.1,16.42,426.7
2020/5/2 5:10,978.69,7.1,281.99,4.42,83,10.1,8.38,1.72,5.34,8.56,1212.56,0.83,2.04,202.8,16.48,427.7
2020/5/2 5:20,978.79,7.09,281.97,4.44,83.2,10.09,8.39,1.7,5.35,8.58,1212.73,1.38,3.04,205.2,16.57,430
2020/5/2 5:30,978.85,7.37,282.25,4.54,82.2,10.29,8.45,1.83,5.39,8.64,1211.56,1.99,3.65,217.8,16.69,426
2020/5/2 5:40,979.01,7.47,282.34,4.61,82,10.36,8.49,1.86,5.41,8.67,1211.31,2.28,3.28,214.8,16.84,426.1
2020/5/2 5:50,979.05,7.49,282.35,4.64,82.1,10.37,8.51,1.86,5.43,8.7,1211.26,2.11,3.16,223.5,16.98,426.4
2020/5/2 6:00,979.17,7.62,282.48,4.7,81.7,10.46,8.55,1.91,5.45,8.73,1210.84,2.44,3.45,219,17.12,426.1
2020/5/2 6:10,979.33,7.87,282.71,4.75,80.6,10.64,8.58,2.06,5.47,8.76,1209.94,2.47,3.85,210.7,17.25,425
2020/5/2 6:20,979.43,8.08,282.92,4.83,79.9,10.8,8.63,2.17,5.5,8.81,1209.14,1.99,3.32,211.8,17.39,424.9
